"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/31/2024","12/31/2024","12/31/2024","","Interest Payment","INT","","","$0.01"
"12/2/2024","12/2/2024","12/2/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"11/29/2024","11/29/2024","11/29/2024","","Interest Payment","INT","","","$0.02"
"11/4/2024","11/4/2024","11/4/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"10/31/2024","10/31/2024","10/31/2024","","Interest Payment","INT","","","$0.04"
"10/3/2024","10/3/2024","10/3/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"9/30/2024","9/30/2024","9/30/2024","","Interest Payment","INT","","","$0.07"
"9/3/2024","9/3/2024","9/3/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"8/30/2024","8/30/2024","8/30/2024","","Interest Payment","INT","","","$0.09"
"8/5/2024","8/5/2024","8/5/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"7/31/2024","7/31/2024","7/31/2024","","Interest Payment","INT","","","$2.75"
"7/8/2024","7/8/2024","7/8/2024","","Instant bank transfer - account ending in 7929","RTP","","","($2,800.12)"
"7/8/2024","7/8/2024","7/8/2024","","Instant bank transfer - withdrawal fee","RTP","","","($49.88)"
"7/5/2024","7/5/2024","7/5/2024","","External debit card transfer - withdrawal fee","DCF","","","($1.35)"
"7/5/2024","7/5/2024","7/5/2024","","External debit card transfer - account ending in 8441","DCF","","","($75.65)"
"7/5/2024","7/5/2024","7/8/2024","AVGO","AVGO 7/5/2024 Put $1,725.00","STC","1","$13.40","$1,339.92"
"7/5/2024","7/5/2024","7/8/2024","SMCI","SMCI 7/5/2024 Put $845.00","STC","1","$7.20","$719.93"
"7/5/2024","7/5/2024","7/8/2024","SMCI","SMCI 7/5/2024 Call $870.00","STC","1","$3.20","$319.95"
"7/5/2024","7/5/2024","7/8/2024","SMCI","SMCI 7/5/2024 Call $870.00","STC","1","$3.30","$329.95"
"7/5/2024","7/5/2024","7/8/2024","SMCI","SMCI 7/5/2024 Put $845.00","BTO","1","$5.70","($570.03)"
"7/5/2024","7/5/2024","7/8/2024","COIN","COIN 7/5/2024 Call $230.00","STC","1","$0.07","$6.95"
"7/5/2024","7/5/2024","7/8/2024","SMCI","SMCI 7/5/2024 Call $870.00","BTO","2","$8.00","($1,600.06)"
"7/5/2024","7/5/2024","7/8/2024","ARM","ARM 7/5/2024 Call $180.00","STC","3","$0.53","$158.89"
"7/5/2024","7/5/2024","7/8/2024","AVGO","AVGO 7/5/2024 Put $1,725.00","BTO","1","$5.40","($540.03)"
"7/5/2024","7/5/2024","7/8/2024","ARM","ARM 7/5/2024 Call $180.00","BTO","3","$1.40","($420.09)"
"7/5/2024","7/5/2024","7/5/2024","","Gold Subscription Fee","GOLD","","","($5.00)"
"7/3/2024","7/3/2024","7/5/2024","COIN","COIN 7/5/2024 Call $230.00","STC","2","$1.50","$299.92"
"7/3/2024","7/3/2024","7/5/2024","COIN","COIN 7/5/2024 Call $230.00","STC","3","$1.45","$434.88"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","STC","1","$0.44","$43.95"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","STC","4","$0.53","$211.86"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","STC","6","$0.56","$335.79"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","BTO","2","$0.47","($94.06)"
"7/3/2024","7/3/2024","7/5/2024","COIN","COIN 7/5/2024 Call $230.00","BTO","1","$1.37","($137.03)"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","STC","9","$0.50","$449.68"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","BTO","13","$0.43","($559.39)"
"7/3/2024","7/3/2024","7/5/2024","SPY","SPY 7/3/2024 Call $550.00","BTO","5","$0.43","($215.15)"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","STC","1","$2.37","$236.95"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","STC","1","$2.84","$283.95"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","STC","1","$2.84","$283.95"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","STC","1","$3.00","$299.95"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","STC","1","$3.00","$299.95"
"7/3/2024","7/3/2024","7/5/2024","TSLA","TSLA 7/5/2024 Call $250.00","BTO","5","$2.25","($1,125.15)"
"7/3/2024","7/3/2024","7/5/2024","COIN","COIN 7/5/2024 Call $230.00","BTO","5","$1.90","($950.15)"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","STC","1","$5.07","$506.94"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","STC","2","$5.10","$1,019.90"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","BTO","2","$3.80","($760.06)"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","STC","1","$5.50","$549.94"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","STC","1","$4.70","$469.94"
"7/2/2024","7/2/2024","7/3/2024","SMCI","SMCI 7/5/2024 Call $900.00","BTO","2","$3.50","($700.06)"
"7/1/2024","7/1/2024","7/2/2024","SMCI","SMCI 7/5/2024 Call $900.00","BTO","1","$5.60","($560.03)"
"7/1/2024","7/1/2024","7/2/2024","SPY","SPY 7/1/2024 Call $545.00","STC","5","$1.03","$514.82"
"7/1/2024","7/1/2024","7/2/2024","SPY","SPY 7/1/2024 Call $545.00","STC","5","$1.10","$549.82"
"7/1/2024","7/1/2024","7/2/2024","SPY","SPY 7/1/2024 Call $545.00","BTO","10","$0.88","($880.30)"
"7/1/2024","7/1/2024","7/2/2024","TSLA","TSLA 7/5/2024 Call $207.50","STC","1","$4.65","$464.94"
"7/1/2024","7/1/2024","7/2/2024","TSLA","TSLA 7/5/2024 Call $207.50","STC","1","$4.80","$479.94"
"7/1/2024","7/1/2024","7/2/2024","TSLA","TSLA 7/5/2024 Call $207.50","BTO","2","$3.59","($718.06)"
"6/28/2024","6/28/2024","6/28/2024","","Interest Payment","INT","","","$2.97"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 7/1/2024 Call $547.00","STC","2","$0.41","$81.92"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 7/1/2024 Call $547.00","BTO","2","$0.71","($142.06)"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","STC","1","$1.70","$169.95"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","STC","1","$1.69","$168.95"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","STC","3","$1.72","$515.88"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","STC","1","$1.34","$133.95"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","STC","4","$1.34","$535.85"
"6/28/2024","6/28/2024","7/1/2024","SPY","SPY 6/28/2024 Put $549.00","BTO","10","$0.79","($790.30)"
"6/28/2024","6/28/2024","7/1/2024","ARM","ARM 6/28/2024 Call $170.00","STC","6","$0.93","$557.78"
"6/28/2024","6/28/2024","7/1/2024","ARM","ARM 6/28/2024 Call $170.00","BTO","6","$1.35","($810.18)"
"6/27/2024","6/27/2024","6/27/2024","","Interest Payment","INT","","","$3.63"
"6/27/2024","6/27/2024","6/28/2024","SMCI","SMCI 7/5/2024 Call $1,000.00","STC","1","$8.80","$879.93"
"6/27/2024","6/27/2024","6/28/2024","SMCI","SMCI 7/5/2024 Call $1,000.00","BTO","1","$7.80","($780.03)"
"6/27/2024","6/27/2024","6/28/2024","SPY","SPY 6/27/2024 Put $546.00","STC","2","$1.04","$207.92"
"6/27/2024","6/27/2024","6/28/2024","SPY","SPY 6/27/2024 Put $546.00","STC","3","$1.36","$407.88"
"6/27/2024","6/27/2024","6/28/2024","SPY","SPY 6/27/2024 Put $546.00","BTO","5","$0.88","($440.15)"
